user,time,action,status
user,Thu Dec 19 2019 20:09:20 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:09:20 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Thu Dec 19 2019 20:14:03 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:14:03 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Thu Dec 19 2019 20:14:39 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:14:39 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Thu Dec 19 2019 20:14:51 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:14:51 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Thu Dec 19 2019 20:15:41 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:15:41 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Thu Dec 19 2019 20:28:30 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:28:30 GMT+0800 (GMT+08:00),accessAPI:login,success
user,Thu Dec 19 2019 20:29:27 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:29:27 GMT+0800 (GMT+08:00),accessAPI:login,success
undefined,Thu Dec 19 2019 20:29:28 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Thu Dec 19 2019 20:32:09 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:32:09 GMT+0800 (GMT+08:00),accessAPI:login,success
undefined,Thu Dec 19 2019 20:32:10 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
user,Thu Dec 19 2019 20:33:27 GMT+0800 (GMT+08:00),createaToken,success
user,Thu Dec 19 2019 20:33:27 GMT+0800 (GMT+08:00),accessAPI:login,success
undefined,Thu Dec 19 2019 20:33:28 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
undefined,Fri Dec 20 2019 16:06:22 GMT+0800 (GMT+08:00),accessAPI:getLogHandle,error
